count,co2_level,ldr_value,temp,humidity,fan_speed,light_intensity
11,1947,63,47.0,65.8,3,3
3,500,85,38.9,76.5,2,2
1,303,766,34.8,58.5,1,0
16,2515,870,34.9,51.0,2,2
3,898,598,31.6,52.4,1,1
6,1222,319,17.7,70.3,1,2
14,2216,70,14.1,63.1,2,4
8,1569,125,22.4,72.3,2,3
2,553,542,44.5,52.4,2,1
13,1888,324,27.2,69.8,2,3
18,2696,567,32.0,66.3,3,3
17,2412,38,50.6,70.2,4,4
9,1486,939,53.0,60.7,3,1
0,217,336,29.9,60.2,0,0
1,378,580,36.3,63.6,2,1
14,2281,488,28.8,45.1,1,3
10,1661,605,48.9,71.3,4,2
19,2990,394,17.1,61.9,2,3
12,1979,754,17.5,60.2,1,1
12,2062,565,33.3,81.0,3,2
2,825,546,30.2,61.3,1,1
9,1340,988,17.7,83.0,1,1
17,2460,686,24.3,76.2,3,2
1,713,402,27.7,60.8,1,1
9,1361,66,16.7,64.9,1,3
1,416,625,41.2,52.4,1,1
1,626,606,37.2,59.8,2,1
17,2566,351,48.3,51.4,3,3
5,1148,552,38.9,49.5,1,1
15,2109,1000,20.2,63.5,2,1
16,2220,788,38.9,57.1,3,2
18,2980,122,32.4,62.3,3,4
2,594,44,24.8,49.1,0,2
19,2832,707,53.0,70.5,4,3
14,2208,487,19.9,66.8,2,2
16,2503,31,31.4,66.1,2,4
1,420,70,25.1,52.3,1,2
6,1202,528,15.8,65.1,1,2
18,2837,437,37.6,53.0,3,3
9,1396,436,25.5,69.4,2,2
3,846,103,36.1,48.4,1,2
7,1150,17,29.6,64.1,2,3
1,480,65,24.7,58.7,1,2
0,397,962,39.4,55.5,0,0
9,1790,84,30.0,59.2,2,3
8,1356,149,41.3,62.9,2,3
2,663,771,27.4,70.1,1,0
15,2377,957,13.0,45.8,1,1
16,2600,880,37.7,68.2,3,2
14,2185,75,24.7,52.2,2,4
5,1381,892,33.8,45.0,1,1
20,2909,823,37.5,50.5,3,2
6,1223,788,39.2,47.6,2,1
13,2024,50,19.8,43.0,1,4
9,1599,83,46.1,68.3,3,3
20,3000,33,39.5,69.3,3,4
15,2295,577,31.4,73.7,2,2
17,2725,320,22.5,83.0,3,3
3,768,122,51.9,66.6,3,2
20,3000,86,35.1,66.0,3,4
12,1766,412,50.0,67.3,3,2
12,2037,480,27.9,71.7,2,2
3,955,463,36.1,67.4,2,1
8,1421,394,38.2,77.3,3,2
17,2741,788,20.0,70.5,2,2
5,1364,860,40.6,56.1,2,1
10,1846,511,23.5,64.2,2,2
9,1333,904,39.2,76.6,3,1
19,2799,948,31.6,70.2,3,2
8,1528,420,46.5,66.7,3,2
5,864,784,47.5,53.0,2,0
14,2276,52,39.1,55.7,2,4
1,788,385,17.8,55.5,0,1
9,1841,600,23.3,56.6,1,2
7,1679,366,24.8,80.3,2,2
15,2359,156,27.8,74.9,1,3
3,711,871,28.3,79.6,2,0
2,800,631,26.3,45.5,0,1
15,2380,538,41.8,57.1,3,3
13,2129,79,53.0,47.3,3,4
18,2885,166,34.1,67.3,3,4
20,3000,226,31.6,51.4,2,4
13,2341,54,33.7,48.2,2,4
4,1262,738,36.9,83.0,2,1
19,2852,495,31.5,55.5,2,3
11,1667,69,33.2,79.9,3,3
12,1838,711,36.8,83.0,3,2
6,1304,396,46.7,71.3,3,2
9,1644,104,16.3,56.8,1,3
2,541,77,39.3,61.4,2,2
4,751,452,30.1,59.8,1,1
20,2971,525,46.0,63.2,3,3
11,1656,316,30.4,82.4,2,2
10,1799,277,23.5,80.4,2,3
3,939,120,21.9,75.8,1,2
4,956,877,52.6,75.7,3,0
17,2675,101,13.2,73.7,2,4
2,550,950,31.6,51.1,1,0
0,660,818,29.1,71.2,0,0
12,1922,296,30.1,66.6,2,3
14,2136,70,27.2,71.8,3,4
3,733,92,26.7,64.1,1,2
8,1334,573,38.6,62.6,2,1
18,2503,461,25.4,73.8,2,3
15,2248,59,39.4,66.3,3,4
17,2930,692,41.0,83.0,4,3
16,2492,87,35.5,59.5,2,4
17,2438,784,38.9,64.0,3,2
14,2089,873,27.6,50.9,2,2
16,2475,349,36.0,73.6,3,3
4,841,790,47.7,60.1,2,0
3,682,923,13.2,52.5,0,0
5,1214,108,41.2,72.3,2,3
18,2594,38,26.1,72.9,3,4
15,2172,769,34.3,47.4,2,2
14,2096,505,36.9,57.7,2,2
2,428,410,37.8,51.9,1,1
14,2326,643,53.0,66.8,3,2
9,1577,409,44.2,69.3,3,2
15,2490,311,29.0,52.0,2,3
6,1173,527,24.8,62.2,1,2
1,789,551,44.2,57.0,2,1
17,2569,773,53.0,73.6,4,2
9,1782,560,48.9,67.1,3,2
3,911,882,21.7,46.1,1,0
7,1334,490,27.0,46.1,2,2
1,567,8,39.6,73.5,2,2
20,3000,289,27.1,50.0,2,4
11,1964,87,50.1,50.3,3,3
15,2190,996,32.6,69.9,3,1
2,539,450,44.9,58.4,2,1
16,2515,360,35.5,55.7,3,3
3,787,412,53.0,63.5,3,1
15,2347,116,44.6,65.4,3,4
18,2624,757,27.7,63.6,2,2
17,2512,636,44.3,57.1,3,3
19,2959,836,43.4,77.3,4,2
9,1367,284,38.5,60.5,2,3
15,2133,932,22.9,80.8,2,1
15,2697,427,44.2,57.7,3,3
4,1003,733,31.3,61.1,1,1
15,2455,38,35.7,77.0,3,4
16,2828,566,32.3,50.8,2,3
18,2763,12,29.8,71.7,2,4
17,2338,71,48.3,66.4,3,4
4,964,361,50.8,53.7,2,2
3,693,953,36.4,49.3,1,0
6,1144,51,27.0,53.3,1,3
14,2156,64,41.4,78.2,3,3
19,2702,498,28.6,71.6,3,3
8,1095,987,29.1,52.6,1,0
4,975,903,38.5,70.7,2,1
9,1751,781,27.8,72.5,2,1
10,1345,941,23.8,60.4,1,1
6,1068,590,27.6,62.1,1,1
5,1110,380,23.4,70.2,1,2
14,2202,90,33.1,66.0,2,4
10,1541,771,26.3,43.0,1,2
1,845,270,35.1,48.1,1,1
9,1541,736,40.4,54.9,2,1
7,1278,28,46.2,45.0,2,3
7,1490,715,31.2,61.7,2,1
18,2687,685,23.5,48.7,2,2
20,2781,0,24.5,46.7,2,4
11,1767,23,30.6,64.7,2,3
20,2884,772,34.1,50.4,2,3
18,2301,418,16.9,68.5,2,3
13,1994,273,17.0,73.7,2,3
12,1988,275,38.5,62.6,2,3
19,2765,391,26.7,72.0,3,3
9,1734,421,26.8,72.3,2,2
20,3000,1000,31.2,49.0,2,2
1,499,442,29.6,59.4,1,1
5,1048,614,22.0,54.9,1,1
6,1256,941,35.1,57.9,1,1
11,1717,639,44.5,72.8,3,2
19,2926,80,25.9,49.6,2,4
7,1362,315,29.6,49.6,1,2
2,450,1000,36.1,59.3,1,0
17,2608,566,36.0,44.9,2,3
5,1079,302,36.1,55.9,2,2
12,1978,870,53.0,52.6,3,1
10,1482,387,17.4,65.5,1,2
14,2127,37,47.8,58.7,3,4
13,2083,107,39.7,63.8,3,3
18,2645,46,34.7,77.7,3,4
0,200,568,30.7,54.2,0,0
13,1992,110,33.8,64.5,2,3
12,2052,528,22.0,69.8,2,2
12,1738,513,44.9,52.8,2,2
3,616,444,18.2,64.6,1,1
17,2414,82,32.8,60.0,2,4
17,2556,523,42.4,69.8,4,3
18,2622,440,40.2,80.2,4,3
10,1575,756,22.1,83.0,2,1
2,918,416,33.4,43.6,1,1
14,2191,88,32.5,78.4,3,4
6,1097,915,27.1,63.0,2,0
18,2813,821,29.4,61.1,3,2
9,1617,376,28.0,58.3,1,2
19,2900,805,45.0,65.6,3,2
1,720,62,48.0,68.2,2,2
16,2448,41,46.0,54.8,3,4
18,2715,913,13.0,70.5,2,2
11,1895,512,32.6,65.2,2,2
18,2760,367,38.1,57.6,3,3
9,1414,315,42.1,56.2,2,2
5,1078,403,41.7,56.4,1,2
3,576,106,27.0,46.9,1,2
19,2961,16,53.0,64.9,4,4
20,3000,33,26.6,68.3,2,4
0,404,939,39.8,52.5,0,0
10,1898,44,29.8,64.0,2,3
16,2548,930,25.0,47.2,2,2
15,2356,849,28.5,69.0,3,2
5,990,730,38.3,53.4,2,1
8,1321,770,30.0,62.5,2,1
17,2685,362,36.7,68.3,3,3
11,1669,931,13.0,66.8,1,1
3,812,916,18.4,60.8,1,0
5,1125,965,15.8,54.8,0,0
3,923,606,45.3,59.4,2,1
17,2644,283,27.7,59.1,2,3
14,2253,404,16.8,65.8,2,3
16,2480,693,37.0,75.2,3,2
7,1546,492,39.6,80.9,3,2
12,1997,341,33.5,66.0,2,3
11,1635,0,41.0,66.1,3,3
5,1194,560,36.6,67.7,2,1
17,2672,273,24.3,75.4,3,4
10,1639,98,42.2,83.0,3,3
12,1718,497,48.6,69.4,3,2
3,971,303,27.7,49.2,1,2
0,446,87,13.0,63.1,0,0
3,640,463,34.8,56.4,1,1
15,2359,813,22.1,62.8,2,2
9,1203,988,39.9,62.7,2,1
8,1766,479,39.8,61.8,2,2
11,2014,340,30.0,67.6,2,3
10,1539,147,43.8,61.8,2,3
9,1655,341,53.0,66.3,3,2
18,2745,603,22.8,83.0,3,3
8,1182,515,34.1,74.7,2,1
17,2787,404,35.9,61.6,3,3
9,1493,406,42.1,70.7,3,2
5,995,143,45.8,60.4,2,2
14,2162,443,39.4,61.1,3,3
7,1481,45,34.9,65.9,2,3
10,1718,88,32.7,59.2,2,3
5,1147,575,31.7,51.8,1,1
1,542,855,22.4,56.2,1,0
12,1868,263,35.3,71.1,3,3
19,2617,984,22.1,52.9,1,2
20,2745,369,32.0,61.7,3,4
5,1280,96,53.0,83.0,3,3
9,1718,565,22.2,70.8,2,2
16,2469,546,28.8,80.7,3,3
5,825,22,24.6,72.3,1,3
17,2475,458,36.8,75.4,3,3
20,3000,964,40.8,79.0,4,2
7,1154,43,46.8,50.7,2,3
13,2035,851,37.4,49.9,2,2
7,1285,384,39.4,63.6,2,2
20,2945,851,48.9,62.3,3,2
2,543,809,33.3,61.4,1,0
11,1775,14,36.1,56.5,2,3
20,3000,451,35.5,59.2,3,3
15,2181,263,19.6,69.7,2,3
18,2635,317,51.0,67.4,4,3
3,579,401,40.6,64.3,2,1
14,2320,868,38.9,72.2,3,2
18,2764,100,14.5,66.4,2,4
4,798,915,53.0,58.7,2,0
12,1813,109,53.0,70.1,3,3
7,1300,753,42.2,83.0,3,1
14,1986,957,27.7,69.3,2,1
1,586,984,51.8,61.7,2,0
8,1402,665,29.1,62.3,2,1
20,3000,482,29.3,62.3,3,3
3,614,703,21.4,52.8,1,1
10,1716,98,38.8,83.0,3,3
20,2802,309,39.5,56.3,3,4
14,1991,32,36.8,74.9,3,4
0,281,17,18.1,60.4,0,0
19,3000,100,27.5,69.1,3,4
7,1275,932,32.5,66.4,2,1
7,1491,839,50.3,51.0,2,1
10,2029,767,49.1,69.2,3,2
4,1068,113,35.0,65.5,2,2
17,2617,131,28.7,47.6,2,4
0,412,53,34.2,66.5,0,0
2,438,507,40.2,63.4,2,1
3,850,655,46.0,55.6,2,1
1,638,107,31.1,48.2,1,2
15,2207,699,37.4,78.5,3,2
18,2627,317,23.2,56.2,2,3
10,1848,513,43.3,69.0,3,2
12,2082,765,24.9,56.8,2,2
20,2886,904,23.9,59.9,3,2
17,2777,429,23.9,56.7,2,3
6,1130,46,29.2,64.1,1,3
13,1989,834,21.6,83.0,2,1
7,1412,802,47.9,59.2,2,1
13,2036,774,22.7,73.3,2,2
15,2504,792,25.1,43.0,2,2
8,1266,40,37.3,69.9,2,3
6,1087,806,30.3,47.6,0,1
0,631,146,25.3,62.9,0,0
17,2717,635,32.8,57.9,3,3
20,3000,787,13.0,65.9,2,2
2,728,456,22.0,43.3,0,1
7,1389,77,25.8,73.3,2,3
14,2131,36,27.0,57.7,2,4
0,326,580,53.0,52.8,0,0
20,2791,475,36.1,69.8,3,3
5,1012,806,30.6,65.6,1,1
1,665,60,39.8,74.0,2,2
2,339,9,40.9,71.6,2,2
4,1013,994,44.7,77.0,3,0
6,1059,72,21.5,78.2,2,3
13,2033,0,19.8,69.3,2,4
13,2149,21,38.2,53.1,2,4
19,2850,300,39.7,51.1,3,4
2,634,14,36.8,63.6,1,2
14,1975,251,39.1,69.5,3,3
20,2959,459,37.4,52.7,3,3
4,1004,4,47.4,52.9,2,3
18,2958,805,31.6,51.5,2,2
0,460,345,13.2,54.6,0,0
4,1119,597,29.2,62.5,1,1
17,2543,882,30.2,50.8,1,2
1,227,117,24.4,63.3,1,2
12,1850,505,23.5,64.3,2,2
15,2201,103,38.6,61.1,3,4
11,1568,782,13.0,75.7,2,1
7,1301,360,48.0,47.2,2,2
0,200,58,40.7,58.8,0,0
3,890,501,30.6,72.3,2,1
3,853,87,22.1,70.2,1,2
16,2454,829,38.0,43.0,2,2
6,1217,832,20.6,61.8,1,1
15,2277,79,28.0,59.6,2,4
9,1498,718,53.0,65.7,3,1
12,1822,171,31.4,61.7,2,3
10,1435,1000,34.0,50.6,1,1
11,2009,885,26.7,69.3,2,1
19,2846,49,29.3,82.8,3,4
11,1815,886,40.0,73.3,3,1
6,1399,920,38.5,49.3,2,0
17,2522,359,24.9,54.6,2,3
13,2032,414,36.9,72.1,3,3
2,745,1000,32.1,61.3,1,0
7,1413,729,21.3,78.5,2,1
17,2730,72,39.5,57.6,3,4
7,1113,921,30.3,47.3,1,0
20,2932,405,45.2,57.3,3,3
12,1943,812,13.4,57.6,1,1
8,1531,235,24.9,65.2,2,2
7,1271,105,38.0,61.9,2,3
18,2672,36,19.6,80.9,3,4
1,520,0,31.0,58.1,1,2
10,1755,737,36.1,57.1,2,2
15,2186,461,40.8,75.5,3,3
3,1121,125,30.7,46.6,1,2
2,621,66,23.6,83.0,1,2
5,1012,25,42.7,74.1,3,3
4,994,863,33.5,74.2,2,0
14,2236,823,39.4,64.3,3,2
7,1075,506,42.2,71.3,3,1
10,1503,505,40.1,66.7,2,2
16,2488,829,26.8,65.6,2,2
20,3000,74,34.3,69.3,3,4
16,2552,682,30.4,44.8,1,2
11,2065,923,35.1,59.0,2,1
1,618,589,36.4,69.6,2,1
8,1393,838,13.0,63.7,1,1
7,1443,440,38.1,58.3,2,2
14,2068,437,36.2,75.6,3,2
4,979,233,13.8,76.1,1,2
13,2305,1000,47.7,74.8,4,1
8,1387,630,20.0,68.5,2,1
14,2423,160,24.8,65.8,2,4
19,2983,899,35.9,50.4,2,2
2,864,818,38.8,53.6,1,0
11,2157,82,25.5,59.4,2,3
5,1270,742,40.5,50.4,2,1
11,1934,652,25.9,75.4,2,2
7,1387,143,35.1,61.2,2,3
9,1544,50,13.0,66.3,1,3
1,337,393,18.6,67.2,1,1
5,1044,168,22.6,61.1,1,2
16,2310,803,32.7,73.3,3,2
12,1854,908,20.7,68.1,2,1
3,759,741,22.6,55.7,1,1
7,1581,341,30.5,52.0,1,2
20,3000,77,28.2,55.4,2,4
18,2608,930,34.7,50.4,2,2
14,2133,1000,44.8,73.1,3,1
3,910,926,35.7,53.2,1,0
10,1828,400,31.3,75.3,2,2
20,2906,959,23.6,47.3,2,2
4,915,352,19.9,57.1,1,2
7,1019,592,37.5,43.1,1,1
17,2514,234,34.3,52.0,2,3
3,589,1000,22.0,45.9,0,0
20,2968,693,26.6,83.0,3,3
8,1450,85,26.1,61.3,2,3
5,1102,47,32.0,64.1,1,2
20,2892,423,34.1,73.6,3,3
17,2809,934,13.0,72.9,2,2
15,2415,506,30.4,52.1,2,3
16,2221,550,34.3,43.0,2,3
7,1735,541,13.0,62.7,1,2
6,1152,409,16.5,61.8,1,2
20,3000,379,30.1,48.0,2,4
17,2522,891,33.1,66.5,3,2
2,370,916,53.0,66.3,3,0
16,2445,1000,29.3,63.0,2,2
7,1318,71,38.6,79.0,2,3
14,2295,392,34.4,56.0,2,3
18,2980,860,27.3,57.8,2,2
17,2418,939,33.0,68.0,3,2
9,1560,699,42.3,60.1,2,1
13,2020,380,36.1,62.3,3,3
0,321,464,43.1,53.5,0,0
10,1773,91,31.1,56.3,2,3
9,1529,117,13.1,69.4,1,3
7,1506,1000,31.6,63.8,2,0
11,1553,559,47.8,73.6,4,2
8,1498,463,28.1,63.1,1,2
15,2367,1000,30.6,60.1,2,1
10,1743,723,25.4,68.9,2,2
8,1289,956,24.3,52.3,1,1
11,2082,57,19.5,68.2,2,3
5,931,804,15.7,64.9,1,0
11,1971,556,29.8,62.2,2,2
3,854,409,25.0,47.8,1,1
11,1707,522,36.9,72.8,3,2
17,2632,936,13.0,62.1,2,2
18,2791,66,24.2,72.2,3,4
16,2364,21,29.2,55.7,2,4
0,519,982,53.0,50.9,0,0
4,881,49,34.9,65.2,2,2
5,1197,843,13.0,54.0,0,1
19,2827,1000,32.6,52.7,3,2
