count,co2_level,temp,humidity,ldr_diff,fan_speed,light_intensity
23,1787,43.9,49.6,1982,3,3
2,362,37.3,76.3,-870,2,0
24,1500,32.0,65.4,520,3,2
27,1813,30.5,67.7,1499,3,3
12,1136,27.3,73.3,256,2,2
17,1224,44.8,85.0,139,4,1
6,716,26.2,59.6,-78,1,0
12,1017,39.9,52.5,327,2,1
25,1731,44.7,65.1,-2398,3,1
9,946,40.5,51.3,297,2,1
21,1407,31.6,64.6,176,2,1
9,1140,27.4,60.1,-853,1,0
27,2072,47.3,54.1,1508,3,3
6,745,45.5,71.5,352,2,0
17,1472,42.1,56.3,873,2,1
2,377,30.0,66.1,2560,1,2
15,1220,45.7,65.2,-1074,3,0
23,1468,36.8,70.9,0,3,1
23,1723,43.9,67.5,280,3,2
16,1555,19.8,65.4,-1954,1,1
3,656,25.6,59.1,902,1,0
27,2007,16.5,70.9,-51,2,1
15,1243,23.0,66.9,2847,1,3
21,1844,38.3,77.2,575,3,1
29,2082,28.3,64.2,2626,3,4
2,597,24.1,62.1,710,1,0
24,1365,31.9,73.1,-2214,3,1
1,953,38.9,69.5,1118,2,1
0,419,35.3,61.6,1228,0,0
29,1836,44.3,69.4,1082,4,3
24,1730,32.0,73.5,418,3,2
17,1560,33.1,54.6,485,2,1
2,569,46.4,57.6,0,2,0
4,730,15.1,70.1,261,0,0
11,1190,41.3,75.0,2690,3,2
8,903,36.0,45.9,420,1,1
6,512,48.9,62.8,500,3,0
26,1834,46.5,64.9,813,4,2
10,1086,23.1,58.9,1734,1,2
4,748,30.0,64.3,-796,1,0
11,929,15.0,73.0,961,1,1
16,1270,46.2,67.8,193,3,1
3,274,44.8,62.7,1645,2,1
7,726,44.6,67.8,-953,2,0
26,2104,20.2,75.8,-727,2,2
6,1122,23.6,71.9,1876,1,1
0,593,36.4,51.6,1408,0,0
7,1022,32.2,62.4,2230,2,2
14,1289,54.7,78.6,2069,4,2
13,1155,28.4,65.7,1537,2,2
12,1355,30.9,72.4,2245,2,2
9,872,32.7,57.6,129,1,0
17,1431,42.6,80.5,159,3,1
27,1895,34.5,59.1,-168,2,2
11,1067,30.6,45.0,1347,1,1
19,1466,45.9,69.7,912,3,1
21,1224,38.6,80.4,72,4,1
25,1479,22.4,68.2,592,2,2
1,802,25.5,45.0,99,0,0
2,744,27.6,66.5,-2186,1,0
8,855,38.7,66.9,-2034,2,0
10,1163,52.6,45.6,53,2,1
1,489,30.3,53.0,595,1,0
27,1822,34.5,78.1,-369,3,2
3,750,44.5,61.6,-890,2,0
1,356,30.6,82.5,43,2,0
10,869,30.0,85.0,2930,2,2
1,200,38.3,53.3,2880,1,2
4,691,26.9,65.6,92,1,0
23,1647,25.6,67.5,-260,2,1
16,1460,33.1,60.8,-1060,2,1
17,1436,45.9,62.1,240,3,1
16,983,25.6,61.3,-954,2,1
29,2127,40.8,54.7,-327,3,2
21,1193,35.1,63.4,1374,2,2
4,544,35.3,82.5,163,2,0
10,857,37.9,49.9,864,1,1
24,1839,33.0,65.1,-2291,3,2
25,1844,52.2,71.5,2559,4,4
20,1593,51.8,59.3,2069,3,3
0,451,43.9,75.7,39,0,0
28,2125,37.3,75.5,-1326,4,2
16,1350,33.3,59.8,2532,2,3
16,1594,45.0,74.3,1801,3,2
8,276,25.2,51.9,1238,1,1
29,1898,31.1,59.3,94,3,2
13,951,30.3,76.2,-613,2,0
16,1161,41.3,75.2,206,3,1
19,1707,44.4,66.9,90,3,1
17,1415,32.0,68.0,-1711,2,1
2,200,25.3,85.0,-1091,2,0
19,1500,33.1,69.6,-340,2,1
22,1259,39.4,59.2,1649,3,2
1,777,42.2,63.2,-1498,2,0
14,1441,39.6,54.3,1463,2,2
3,860,35.1,46.3,-1271,1,0
26,1816,27.8,56.1,-808,2,1
15,1347,26.8,64.4,-778,2,0
24,1934,47.4,73.7,3268,4,4
9,1458,24.8,74.5,768,2,1
1,405,40.2,54.0,-1259,1,0
23,1618,37.6,68.6,-1190,3,1
28,1794,31.6,75.7,3106,3,4
26,1708,15.0,60.9,1184,1,2
8,731,36.6,66.2,1285,2,2
5,849,48.8,61.6,-237,2,0
13,1163,31.4,64.8,-873,2,0
28,2065,43.1,59.4,1899,3,3
5,599,24.8,50.4,43,0,0
1,530,32.0,72.6,1750,2,1
29,2140,26.1,64.0,-2424,2,2
27,2094,33.5,72.4,586,3,2
27,1761,42.9,76.4,-194,3,2
16,1044,29.1,64.7,-646,2,1
4,1064,28.9,63.2,558,1,1
19,1900,42.0,66.4,1178,3,2
20,1850,29.2,62.2,-256,2,1
29,1979,25.6,50.0,-1480,2,2
18,1439,22.2,52.9,1488,1,2
4,617,42.3,62.9,2083,2,1
30,2333,36.8,54.0,2235,3,4
16,1201,22.4,74.3,0,2,1
17,1366,40.2,61.0,1364,2,2
27,1648,27.5,69.3,643,3,2
30,2312,31.1,66.6,391,3,2
29,1988,41.5,75.4,-384,3,2
24,1581,24.6,52.7,193,1,1
19,1414,45.7,45.0,2056,2,2
21,1473,34.7,55.1,71,2,1
27,1930,32.8,74.3,-426,3,2
22,1508,38.3,58.5,-967,3,1
30,2021,22.8,60.6,-429,2,2
29,1879,25.7,73.0,-814,3,2
8,650,34.3,72.9,-241,2,0
13,884,50.2,66.1,1500,3,2
26,1683,32.2,81.6,2094,3,4
2,480,29.2,53.7,309,1,0
1,578,30.7,73.5,-1155,2,0
21,1424,44.8,64.1,-885,3,1
18,1545,51.1,51.7,-429,3,1
22,1718,40.5,76.3,-347,4,1
11,657,29.1,55.9,-456,1,1
0,596,39.8,63.8,315,0,0
6,442,38.2,70.5,1438,2,1
20,1605,36.3,52.0,3237,2,4
5,433,35.0,74.8,406,2,0
10,814,45.8,85.0,30,4,0
23,1593,35.4,66.1,-775,3,1
0,754,22.5,79.1,1118,0,0
29,2190,38.3,68.2,-2260,3,2
26,1656,27.9,66.1,949,2,2
8,941,31.7,57.2,-481,1,0
8,891,24.3,68.6,-820,1,0
1,288,49.6,76.1,2008,3,1
0,591,35.1,74.7,1231,0,0
14,1358,33.2,71.1,-526,2,1
17,1125,21.1,47.7,-1054,1,1
13,1347,42.8,67.3,1403,3,2
20,1403,54.2,70.2,1846,4,2
12,1410,42.3,70.2,153,3,2
23,2164,55.0,75.5,-388,4,1
4,431,34.8,47.7,858,1,1
24,1693,31.5,65.8,1652,2,3
3,882,45.0,61.5,-1716,2,0
11,1174,21.5,62.7,-1133,1,0
8,771,39.0,76.4,0,3,0
27,1847,35.9,49.8,0,3,1
28,1876,48.9,61.9,-1331,4,2
9,712,28.2,57.1,173,1,0
14,1372,40.2,62.3,123,2,1
11,1513,29.4,60.6,190,2,1
17,1427,33.8,63.2,-1272,2,1
13,1121,41.9,66.4,3045,2,3
5,664,38.0,48.9,1640,1,1
12,1065,18.8,56.3,1819,1,2
11,1108,43.9,70.5,-1182,3,0
18,1474,37.3,48.2,-262,2,1
17,1240,28.9,76.1,-1788,2,1
24,1387,38.9,59.6,1640,3,3
28,2066,41.0,67.6,1655,3,3
0,215,43.2,51.8,717,0,0
18,1309,32.6,63.6,17,2,1
5,571,32.1,66.0,1315,1,1
29,2150,48.6,76.2,1950,4,3
5,869,35.3,69.0,2820,2,2
23,1702,42.2,59.7,121,3,1
3,682,49.8,61.2,-1170,2,0
14,1065,25.8,83.6,1905,2,2
9,976,35.9,53.4,23,2,0
12,611,35.7,45.3,-1450,1,0
21,1436,39.4,60.1,224,3,1
11,1023,19.3,48.3,-1181,0,1
25,1976,43.6,81.5,3021,4,4
1,734,31.8,56.8,196,1,0
5,638,15.8,75.5,1440,1,1
9,685,39.5,73.9,1539,2,1
16,1477,38.3,65.5,1192,3,2
2,384,22.4,72.3,316,1,0
18,1280,15.0,69.5,32,2,1
12,1284,27.1,68.7,-1002,2,1
19,1592,18.6,73.5,-1414,2,1
7,750,46.9,70.7,-988,3,0
15,1150,37.9,57.9,3244,2,3
16,1286,26.3,64.1,198,2,1
24,1757,15.0,50.5,-1764,1,1
6,635,31.3,49.9,-663,1,0
8,935,15.8,57.5,220,0,1
21,1417,33.8,71.1,425,3,2
13,1255,30.7,64.4,1618,2,2
17,1294,29.7,85.0,71,3,1
5,616,55.0,48.6,1283,2,1
21,1495,31.5,85.0,-641,3,1
28,1823,44.7,85.0,-1924,4,2
5,643,15.0,55.8,506,0,0
8,694,44.5,63.9,2680,2,2
14,1169,39.2,66.6,-1999,2,1
18,1589,20.2,70.8,1637,2,2
26,1712,27.1,54.2,-1716,2,2
16,1189,44.4,67.9,399,3,1
8,848,40.1,72.8,1754,2,2
7,808,24.2,45.0,3227,0,2
9,917,18.7,76.0,403,1,0
5,347,30.3,60.6,1839,1,1
1,512,37.0,82.9,-1301,2,0
2,504,37.8,71.9,270,2,0
2,799,33.7,73.8,140,2,0
16,1218,46.8,62.2,1526,3,2
17,1289,34.6,82.4,840,3,1
28,1576,21.8,63.4,750,2,2
25,1734,38.6,64.3,224,3,2
7,920,39.7,73.1,-1071,2,0
3,676,42.2,68.7,-233,2,0
28,1741,40.0,85.0,-1034,4,1
22,1296,37.6,62.0,144,2,1
13,992,33.8,55.9,893,2,1
9,868,33.2,85.0,-1840,3,0
12,1180,27.5,68.1,1851,2,2
10,743,23.4,72.3,-788,1,0
11,696,28.0,70.9,-2496,2,0
28,2082,42.1,84.4,2222,4,4
6,660,32.8,66.0,1421,2,1
1,285,43.4,56.8,-2206,2,0
27,2274,30.9,85.0,2019,3,4
13,995,53.3,63.0,3520,3,3
22,1896,34.6,55.5,46,2,1
1,530,25.8,69.3,-1492,1,0
4,666,47.0,66.0,167,2,0
30,1832,27.9,65.4,1441,2,3
28,1840,28.2,60.5,28,2,2
0,200,46.0,62.0,-1357,0,0
18,1440,36.4,75.8,2740,3,3
13,1209,50.8,53.2,632,3,1
22,1330,31.5,82.1,-2382,3,1
12,1112,23.6,54.1,1875,1,2
29,1662,26.3,50.7,3074,2,4
29,1931,35.7,67.9,-1369,3,2
29,1968,55.0,64.6,-717,4,3
8,941,30.7,72.5,-600,2,0
21,1398,37.3,54.1,-64,2,1
16,1280,20.1,79.3,2191,2,2
7,941,24.3,58.8,1891,1,2
11,921,33.4,67.5,1793,2,1
9,927,19.5,73.1,1542,1,1
11,1507,27.7,78.1,1679,2,2
19,1455,45.1,64.9,0,3,1
20,1243,36.1,66.7,-730,2,1
10,1030,38.9,83.8,-1157,3,0
6,728,42.1,81.9,392,3,0
17,1535,40.9,76.8,-35,3,1
27,2116,28.8,64.1,2300,3,4
2,449,46.8,62.8,1745,2,1
28,1827,31.5,63.0,0,2,2
1,689,30.0,54.9,1373,1,1
5,662,22.3,59.4,-332,1,0
6,760,37.7,49.7,-1903,1,0
19,1651,25.4,45.5,94,1,1
10,807,46.4,74.8,-606,3,0
4,1048,28.6,67.2,731,2,1
18,981,45.0,63.6,67,3,1
0,585,35.0,45.6,296,0,0
14,1253,33.4,65.0,154,2,1
21,1642,20.6,73.7,1334,2,2
3,396,28.7,70.7,269,1,0
29,2277,34.1,59.4,1567,3,3
11,1089,30.9,84.7,1831,1,1
20,1475,45.7,57.3,940,3,2
22,1900,44.7,50.9,1205,3,2
20,1539,48.1,72.9,286,4,1
19,1417,35.2,62.1,1793,2,2
20,1407,34.3,78.5,-2172,3,1
9,792,48.0,74.2,914,3,1
16,1260,42.6,68.2,2214,3,2
8,502,29.2,53.5,179,1,0
19,975,17.9,81.5,2155,2,2
24,1494,44.7,80.5,0,4,1
25,1670,43.0,53.2,32,3,2
16,1088,15.0,64.4,96,1,1
0,320,34.5,66.4,-1272,0,0
3,416,35.8,64.8,116,2,0
26,1381,45.7,69.2,1235,4,2
19,1557,34.1,49.7,-980,2,1
20,1077,41.9,62.8,2761,3,3
27,1977,37.6,73.3,-416,3,2
11,924,30.2,61.9,324,2,1
2,391,23.9,71.3,-2265,1,0
16,1199,44.5,63.5,1090,3,1
22,1837,27.5,62.5,-165,2,1
16,1355,47.3,59.3,-1254,3,1
10,749,26.9,76.8,383,2,1
29,1992,43.4,77.0,-1261,4,2
26,1591,20.0,45.0,-665,1,1
18,1510,33.1,62.6,-780,2,1
24,1278,32.4,60.1,1309,3,2
25,1885,36.4,64.2,424,3,2
1,649,44.1,64.8,-2134,2,0
5,456,44.2,81.0,359,3,0
12,903,29.9,45.0,276,1,1
18,1213,30.2,67.3,7,2,1
29,1838,25.7,65.2,-1522,3,2
1,478,34.5,73.1,2136,2,1
29,2002,45.3,62.3,-732,3,2
10,991,32.4,67.0,257,2,1
24,1522,30.6,58.6,307,2,2
0,373,51.5,74.7,599,0,0
7,942,55.0,74.1,-252,3,0
18,1113,35.9,58.6,2376,2,2
15,1275,39.0,77.9,1856,3,2
20,1427,36.0,64.8,390,3,1
24,1915,38.3,62.2,168,3,2
9,540,38.8,64.0,1248,2,1
14,1439,55.0,67.7,-1305,3,1
23,1543,45.7,77.4,1539,4,2
20,1511,15.0,71.4,1593,2,2
1,310,34.6,73.6,105,2,0
21,1090,53.5,54.4,-2320,3,1
14,858,43.4,58.2,-1058,2,1
6,861,28.7,71.0,-1505,2,0
25,1691,22.8,70.6,2571,2,4
25,1704,25.0,64.1,214,2,2
19,1113,33.6,68.1,2276,3,2
26,1920,54.9,69.8,-1361,4,2
29,1856,22.1,73.5,604,2,2
6,740,18.4,67.2,3296,1,2
5,829,46.0,57.1,-1744,2,0
15,1366,39.0,70.9,699,3,1
30,2229,37.0,51.5,105,3,2
19,1448,32.8,70.4,-375,2,1
18,1072,36.6,64.9,351,3,1
21,1639,40.2,69.5,210,3,1
16,941,52.2,72.6,-336,3,0
8,979,33.6,45.0,1659,1,1
9,1083,41.1,63.9,-406,1,0
23,1449,41.4,67.1,68,3,1
19,1733,27.7,85.0,-1754,3,1
16,1279,28.2,71.9,387,2,1
16,1290,34.8,71.7,1739,2,2
7,657,29.2,74.5,70,2,0
29,1849,34.3,64.8,-2374,3,2
27,1545,22.5,59.6,3532,2,4
6,806,55.0,74.6,-896,3,0
7,735,34.0,63.9,3344,2,3
22,1516,38.7,63.8,403,3,2
24,1696,15.0,74.4,193,2,2
29,2117,24.3,58.2,1235,2,3
16,1368,31.4,64.0,305,2,1
2,232,49.7,64.0,-1932,2,0
23,1851,17.7,62.3,-884,2,1
4,871,39.5,68.9,-2348,2,0
3,466,40.3,60.7,-400,2,0
16,1039,28.4,71.7,791,2,1
3,857,36.2,85.0,2063,3,1
14,1267,37.3,64.9,0,2,1
27,2046,32.9,83.4,943,4,2
24,1849,53.3,58.3,-1644,4,1
30,2238,41.4,54.3,-1514,3,2
28,1897,35.1,73.8,2377,3,4
13,1002,19.6,48.0,-1892,1,0
5,480,22.8,80.0,757,2,0
13,1354,38.3,59.2,-395,2,1
20,1616,32.0,59.7,756,2,1
25,1450,34.5,45.0,-1828,2,1
19,1253,18.0,53.3,205,1,1
11,769,32.3,74.8,1401,2,1
30,1872,43.1,77.7,2756,4,4
21,1790,37.6,69.9,-1884,3,1
21,1523,25.5,47.8,327,1,1
14,1161,30.3,62.5,158,2,1
23,1997,26.7,80.0,1408,3,2
19,1472,45.7,65.0,1218,3,2
23,1491,22.2,78.9,341,3,2
28,2132,31.9,78.8,0,4,2
28,1930,43.8,81.4,264,4,2
27,2069,26.9,53.8,46,2,2
15,921,31.7,61.0,982,2,2
7,895,38.5,55.5,274,2,0
17,1126,43.2,67.1,547,3,1
6,942,40.4,61.2,-633,2,0
10,865,53.4,61.4,10,3,1
8,911,18.8,62.2,302,1,0
4,572,34.4,65.2,-762,2,0
7,1070,49.7,57.0,-452,2,0
16,1075,34.2,70.0,765,3,1
29,1979,27.7,47.4,1643,2,3
28,2109,43.3,48.3,1907,3,3
28,2021,35.7,52.8,798,2,2
14,1119,29.4,66.2,249,2,1
5,508,30.8,69.0,3191,2,2
13,1287,29.4,85.0,300,3,1
19,1492,32.2,45.0,1384,2,2
26,2041,26.8,85.0,417,3,2
20,1640,35.9,60.3,-320,2,1
8,694,36.3,66.1,133,2,1
17,1093,40.1,69.7,624,3,1
13,1047,37.1,56.3,1092,2,1
9,1068,27.7,68.0,649,2,1
9,824,43.6,77.4,337,3,1
1,435,27.3,67.6,3876,1,2
22,1854,35.9,73.2,-1556,3,1
14,1296,24.8,58.6,210,1,1
28,1972,26.3,71.0,-1824,3,1
10,1018,19.0,58.5,-72,1,0
28,2012,33.1,60.7,1101,3,2
0,407,37.5,80.1,686,0,0
7,768,26.8,54.1,428,0,1
5,734,30.2,55.4,-1385,1,0
29,2320,51.7,64.7,-1914,4,2
1,606,39.2,46.5,2433,1,2
26,1774,26.1,67.3,-958,2,2
0,200,41.6,78.0,-1181,0,0
0,351,25.9,58.2,-2444,0,0
30,2143,35.3,68.2,1771,3,3
0,200,27.3,62.8,1647,0,0
17,1478,36.8,61.0,-192,2,1
30,2061,27.5,51.0,156,2,2
28,1869,48.1,83.9,111,4,2
1,528,29.8,73.5,1473,1,1
18,1376,22.2,63.5,-1432,2,1
2,395,38.1,51.7,1260,1,1
9,637,35.5,58.2,-381,2,0
10,933,24.2,54.9,271,1,1
12,1186,23.9,74.1,341,2,0
9,1049,55.0,80.5,-2293,4,0
19,1566,37.7,59.2,0,2,1
18,1450,45.7,62.2,930,3,1
24,1664,46.6,65.4,442,4,2
29,1978,26.7,80.7,-1376,3,2
26,1780,33.6,64.5,1066,2,2
13,873,39.4,67.6,789,3,1
23,1625,38.3,73.5,1878,3,3
25,1781,34.1,59.3,-132,3,2
9,730,51.0,53.5,200,2,0
8,911,46.1,59.4,-53,2,0
27,1878,52.0,53.8,335,4,2
14,1039,32.9,80.6,268,3,1
14,1322,38.9,61.1,1588,2,2
21,1380,22.2,75.8,-769,2,1
10,1016,37.9,69.9,893,2,1
15,1570,34.4,69.6,-1563,2,1
25,1668,22.8,56.2,-2281,1,1
8,926,40.9,69.2,-247,2,0
27,1990,32.1,84.2,-899,4,2
18,1543,32.4,66.9,2102,2,3
10,1176,26.1,73.5,207,2,0
10,1192,33.2,74.5,210,2,1
7,691,39.0,64.0,2441,2,2
29,2090,25.3,76.4,129,3,2
0,487,47.6,50.1,2015,0,0
5,1004,24.1,67.1,147,1,0
10,1035,37.2,72.0,1487,2,1
20,1302,31.2,69.9,-664,2,1
17,1265,22.9,67.8,469,2,1
8,1072,24.8,68.1,1841,1,2
27,2143,50.7,53.3,314,3,2
21,1391,48.4,56.7,1351,3,2
6,608,44.1,61.0,1525,2,1
28,2032,41.5,72.8,2764,3,4
6,1158,52.4,60.3,-2154,2,0
7,558,21.0,57.4,520,1,1
20,1361,46.9,80.8,1192,4,2
22,1402,51.7,71.8,1324,4,2
7,631,31.4,70.6,1105,2,1
1,600,39.6,76.3,-1429,2,0
13,1179,49.4,54.0,1234,3,1
9,1033,38.9,59.6,130,2,0
5,581,37.7,63.4,-1070,2,0
5,595,15.5,61.8,-427,0,0
27,1836,32.5,61.8,-557,3,2
12,1044,43.9,68.2,369,3,1
4,581,34.2,52.6,272,1,0
20,1628,34.8,69.6,1591,3,2
12,973,16.2,69.4,2557,1,2
19,1199,41.2,69.6,-692,3,1
0,296,55.0,76.6,138,0,0
16,1508,38.3,72.2,2047,3,2
5,576,15.0,62.9,1254,1,1
24,1732,35.9,65.3,240,3,1
16,1188,31.0,56.4,-1372,2,0
1,435,30.0,60.8,-516,1,0
20,1626,39.1,55.4,-168,2,1
2,459,37.3,74.6,-975,2,0
15,1155,41.7,53.5,258,2,1
14,1292,46.9,57.1,3018,2,3
2,405,43.1,55.4,-518,1,0
27,1889,29.6,64.4,-324,2,2
21,1386,36.3,77.5,886,3,2
10,639,31.8,67.1,60,2,0
2,429,18.2,72.0,196,1,0
3,431,41.6,60.7,1363,2,1
8,446,22.7,50.3,1366,1,1
25,1731,25.6,71.6,-1232,2,1
27,1900,27.9,77.2,-510,3,2
5,872,24.0,78.3,-393,2,0
30,1888,45.8,65.5,-722,4,2
12,1294,41.4,61.9,2545,2,2
22,1152,31.7,60.9,1014,2,2
22,1744,25.5,65.9,3121,2,4
14,1043,39.0,70.1,-1702,3,1
3,509,32.2,78.0,166,2,0
20,1519,39.6,80.4,600,3,1
21,1523,38.3,80.4,1601,4,2
17,1330,28.6,61.7,265,2,1
22,1618,28.9,62.5,1396,2,2
28,2079,38.9,64.2,207,3,2
4,617,37.3,66.0,-255,2,0
2,276,23.8,62.7,-1167,1,0
1,536,33.4,75.9,375,2,0
13,1264,55.0,62.7,-709,3,1
4,1011,49.9,65.9,80,3,0
22,1654,17.5,66.7,876,1,2
3,358,39.3,53.2,475,1,0
20,1808,39.6,81.8,289,4,1
26,2192,32.2,68.8,184,3,3
12,1133,48.1,62.0,209,2,1
8,1126,34.4,56.2,137,1,0
16,1489,35.3,55.3,195,2,1
19,1612,38.4,47.2,-318,2,1
10,1294,40.1,67.8,-339,2,1
7,988,50.8,71.1,219,3,0
22,1645,55.0,55.8,325,3,2
28,2091,41.3,69.4,2078,4,4
2,582,50.1,63.3,1875,2,1
18,1073,37.5,65.1,479,2,1
30,1991,30.1,76.6,3476,3,4
22,1275,41.2,53.7,1937,3,2
2,319,31.6,74.1,448,2,0
19,1225,23.9,60.5,1344,1,2
17,957,30.9,85.0,2339,3,3
20,1521,21.5,84.8,3248,2,4
4,567,53.1,72.1,-609,3,0
29,2014,20.7,60.4,-2431,2,2
21,1503,23.9,78.0,-497,2,1
0,401,32.9,58.1,1814,0,0
23,1578,52.5,67.6,2269,4,3
11,695,26.4,51.9,1247,1,1
16,1087,38.3,63.4,-1032,3,1
8,965,45.6,59.1,-683,2,0
5,891,41.0,60.7,1864,2,2
19,1264,36.3,72.5,-2185,3,1
4,360,39.5,69.5,186,2,0
18,1506,21.2,66.5,-2381,2,1
30,1978,25.3,69.8,114,2,2
10,737,23.9,60.2,151,1,0
3,830,45.4,76.8,-2265,2,0
20,1669,33.6,63.7,1283,2,2
21,1469,32.7,55.1,366,2,2
9,888,16.4,58.2,-1226,0,0
30,2171,32.3,73.4,-1682,3,2
12,1348,39.3,81.7,233,3,1
14,1449,31.3,62.8,538,2,1
23,1632,25.3,69.0,52,2,1
27,1765,55.0,57.0,-1525,4,1
30,2144,31.6,64.2,-2019,3,2
29,1899,34.8,68.9,-1422,3,2
9,941,22.5,50.5,79,1,0
17,1768,28.3,82.3,-226,3,1
13,927,43.0,45.8,-1008,2,1
23,1440,30.8,45.0,-345,1,1
17,1544,52.1,71.8,144,4,1
13,920,26.5,57.2,1052,1,1
10,842,29.4,70.2,2128,2,2
7,1184,46.6,85.0,282,3,0
17,1188,17.6,54.4,-714,1,1
5,646,42.5,47.0,2230,1,1
19,1429,41.8,70.7,440,3,1
26,2157,40.1,67.2,1635,3,3
20,1205,51.3,60.5,3208,3,3
21,1370,31.8,63.9,888,2,2
28,1747,37.7,59.7,-984,3,2
18,1261,38.0,84.5,255,4,2
21,1399,26.3,64.6,1642,2,3
15,600,28.4,62.9,394,2,1
6,651,15.0,46.3,-2175,0,0
12,1259,33.2,76.8,618,2,1
21,1345,23.9,79.4,-1500,2,1
11,1079,18.4,55.3,-668,1,0
5,564,39.1,52.3,2079,2,1
12,1275,46.0,63.0,277,2,1
30,1893,25.7,78.2,-650,3,2
21,1277,55.0,72.8,-2061,4,1
12,830,46.7,58.0,-123,2,0
21,1652,27.5,79.8,3579,3,4
19,1578,18.7,45.0,-1753,1,1
21,1729,15.0,62.4,-1198,1,1
20,1447,25.3,54.3,0,1,1
29,2030,55.0,58.8,2780,4,4
25,1627,26.6,45.0,2143,1,3
30,1852,40.5,64.8,-1219,3,2
1,445,28.1,74.4,-590,1,0
6,554,43.6,62.7,248,2,0
2,732,29.2,72.6,159,1,0
23,1697,25.9,51.6,-2269,2,1
4,303,45.5,85.0,714,3,0
8,871,34.5,66.1,-2143,2,0
1,573,41.9,58.2,-938,2,0
13,1346,38.4,60.7,-1285,2,1
28,2129,46.1,72.7,1610,4,3
23,1596,45.1,70.5,-102,3,1
10,921,52.4,63.6,1258,3,1
24,1865,31.8,85.0,1300,3,2
29,2176,33.1,45.0,-1447,2,2
12,1107,26.6,50.3,3553,1,3
8,787,43.8,78.4,3913,3,3
21,1655,35.0,66.7,-459,3,1
0,419,26.8,65.3,-1005,0,0
9,521,31.5,60.9,-360,1,0
14,1183,36.6,52.4,24,2,1
21,1517,19.5,76.2,-1853,2,0
20,1663,36.5,66.8,-993,2,1
22,1758,46.9,59.4,352,3,1
20,1491,27.9,57.6,-828,2,1
20,1507,49.6,66.9,-1057,4,1
26,1766,33.1,64.2,3102,3,4
6,605,44.4,61.0,0,2,0
12,945,24.5,63.1,-160,2,1
11,1168,42.6,71.3,0,3,0
2,476,44.0,61.5,837,2,0
20,1737,37.8,55.1,700,2,1
14,1319,50.6,72.9,210,3,1
14,1251,41.9,70.1,-52,3,1
10,982,31.0,57.9,126,1,0
16,1146,45.2,59.3,289,3,1
25,1726,36.8,67.9,-283,3,2
26,1952,31.6,72.0,2619,3,3
17,1498,46.4,60.0,-77,3,1
22,1676,31.4,76.1,-142,3,1
27,2048,28.2,63.8,1873,2,3
15,1048,25.2,85.0,653,2,1
12,806,28.0,74.8,1498,2,1
4,769,37.8,75.6,908,2,1
4,655,47.0,62.1,1893,2,2
12,1183,29.0,71.0,-1463,2,1
23,1886,43.9,59.5,3740,3,4
22,1616,29.3,46.2,274,2,1
17,1142,41.8,74.0,-263,3,1
